"yr","country","beds","physicians","population","health_spend","mortality"
2020,"Guinea-Bissau",0,0.191,2.013255,0,307.44
2021,"Guinea-Bissau",0,0.22,2.058841,0,318.4855
2022,"Guinea-Bissau",0,0.208,2.105529,0,315.6785
2020,"Guyana",0,1.405,0.807481,0,225.7965
2020,"Heavily indebted poor countries (HIPC)",0,0.175855696974443,847.743308,0,256.28632095645
2020,"High income",0,3.581658726849,1393.490142,0,84.4328213618
2020,"Honduras",0,0.489,10.11964,0,155.056
2020,"Hungary",0,3.139,9.670419,5320822,121.4395
2020,"IBRD only",0,1.69455812119909,4878.606096,0,0
2020,"IDA & IBRD total",0,1.37707132594421,6666.779721,0,161.7028830573
2020,"IDA blend",0,0.729728118761076,626.440308,0,0
2020,"IDA only",0,0.355406903900845,1161.733317,0,0
2020,"IDA total",0,0.490627828851603,1788.173625,0,0
